STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980729,94,70
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980730,97,70
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980731,94,80
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980801,91,78
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980802,92,76
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980803,94,71
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980804,91,60
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980805,89,60
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980806,89,60
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980807,90,65
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980808,90,71
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980809,90,71
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980810,92,73
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980811,91,79
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980812,90,68
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980813,93,63
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980814,89,72
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980815,90,69
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980816,87,70
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980817,89,72
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980818,93,69
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980819,85,60
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980820,82,51
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980821,91,55
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980822,94,64
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980823,95,83
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980824,97,79
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980825,96,85
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980826,95,74
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980827,91,73
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980828,94,74
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980829,95,70
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980830,94,66
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980831,95,69
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980901,89,74
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980902,91,68
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980903,84,61
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980904,90,68
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980905,89,76
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980906,96,85
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980907,95,66
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980908,89,71
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980909,75,65
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980910,79,52
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980911,86,76
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980912,95,63
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980913,94,80
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980914,93,66
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980915,94,81
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980916,96,79
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980917,89,73
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980918,84,47
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980919,83,63
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980920,87,75
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980921,93,68
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980922,87,64
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980923,75,55
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980924,74,64
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980925,73,59
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,19980926,89,77
